RESOURCECLASS	COUNT	NORMALIZED_VALUE	Genre	Subject	Language	Modality	Country	temporalCoverage	Media	Remarks
Academic dissertations 	18	plainText	academia	dissertations						Jan's uses Genre differenty
Addresses 	11	plainText	public speaking	address						
AddressesAnthologiesLinguistic corporaCorpus 	1	plainText	public speaking	address						Fixed in a batch
Aligned_sentence 	3	plainText	annotation	aligned sentence						Jan uses annotation facet, a new facet
Alter Druck 	5	plainText	old print							Jan does not translate to English
Amateurfilm 	12	videoRecording	film	amature film						
Ancient religious texts 	3	plainText	history	religion						
Annals 	4	plainText	history							
AnnotatedTextCorpus 	3	"annotatedText; corpus"								
Annotation: Affixes 	1	lexicalResource	annotation	affixes						
Annotation: Chinese_glosses 	1	lexicalResource	annotation	gloss	Chinese					Why does Jan assign type = structured data here but not to other glosses
Annotation: English_glosses 	1	lexicalResource	annotation	gloss	English					
Anthologies 	30	corpus	anthology							
AnthologiesDevotional literature 	1	"plainText; corpus"	anthology	devotional literature						
AnthologiesLinguistic corporaCorpus 	2	"plainText; corpus"	anthology							
Anthology 	1	"plainText; corpus"	anthology							
Audio 	39	audioRecording								
Autobiographies 	4	plainText	autobiography							
Ballad operas 	1	videoRecording	opera	ballad opera		performance				check resource: audioRecording and plainText also possible
Bible storiesLinguistic corporaCorpus 	1	"plainText; corpus"	religion	bible						
Bibles 	1	plainText	religion	bible						
Bibliographies 	1	plainText	bibliography							
Bilingual 	5	annotatedText	bilingual text							check resource
BilingualDictionary 	1	lexicalResource								
Biographies 	13	plainText	personal text	biography						
Bioscoop 	2956	videoRecording	cinema	film	Dutch					
Buddhism 	2	videoRecording	religon	Buddhism						
Catalogues 	1	webService	bibliography	catalogue						
Catechisms 	1	plainText	religion	catechism						
Charter 	2	plainText	law							
Chronicals 	1	plainText	history							Spelling error
Chronicles 	2	plainText	history							
Collection 	79	collection								
Comedies 	4	videoRecording	drama	comedy		perfomance				Alt. RT = plainText
Commentaries 	3	plainText	commentary							
Commentaries -- Italy -- 17th century 	1	plainText	commentary				Italy	17th century		
CommentariesGazetteers 	1	plainText	commentary	"gazetteer; geography"						
Comparable 	1	plainText	comparative literature							"Check resource: Jan: Type = text; genre = comparable"
Confessions 	4	plainText	autobiography	confession						
Constitutions 	1	plainText	law	constitution						
Conversion narratives 	1	plainText	religion	conversion narrative						check resource
CorporaCorpus		corpus								
Corpus 	781	corpus								
Correspondence 	1	plainText	correspondence	letters						
Courtesy books 	1	plainText	book	courtesy book						
Data Provider 	5885	plainText								"corpus of sentences by Leipzig (LCC); Jan proposes: Linguistic Annotation/Orthographic/Sentence Separators as genre"
Databases 	1	structured data								
Dataset 	150	structured data								
Description/inflectional morphology 	2	lexicalResource	morphology	inflectional description						
Devotional literature 	24	plainText	religion	devotional literature						
Devotional material 	1	plainText	religion	devotional literature						
Dialogue 	4	audioRecording	dialogue							
Dialogues 	1	audioRecording	dialogue							
Diaries 	2	plainText	autobiography	diary						
Dictionaries 	19	lexicalResource								
Early book 	1	plainText	book	early printed book						
Early printed book (1501-1800)	6	plainText	book	early printed book						
Economics 	2	other	economics							Check resource
Electronic publications 	3	plainText	electronic publication							
Electronic publications -- Great Britain -- 20th century 	1	plainText	electronic publication				Great Britain	20th century		
Electronic publications -- Indonesia -- 20th century 	1	plainText	electronic publication				Indonesia	20th century		
Electronic publications -- Japan -- 20th centuryDatabases -- Japan -- 20th century 	1	plainText	electronic publication				Japan	20th century		
Electronic publications -- United States -- 20th century 	2	plainText	electronic publication				United States	20th century		
English drama -- Restoration, 1660-1700 	1	plainText	drama				England	1660-1700		
English literature -- Middle English, 1100-1500 	1	plainText	literature	middle english			England	1100-1500		
Epics 	1	plainText	literature	epic poetry						
Essays 	15	plainText	literature	essay						
Ethics 	2	plainText	ethics							
Etiquette books 	2	plainText	book	ettiquette						
Experimental Data 	2	structured data								
Exploration literature 	1	plainText	literature	exploration						
Fairy tales 	2	plainText	literature	folklore						
Fairy talesAnthologies 	1	"plainText; corpus"	literature	folklore						
Fiction 	12	plainText	literature	fiction						
Field Notes 	2	plainText	field notes							
Fieldwork Material 	1	plainText								
Folk tales 	1	plainText	literature	folklore						
FolkloreAnthologies 	1	"plainText; corpus"	literature	folklore						
Formularies 	1	plainText	medicine	"historic medicine; formulary"						
Fragment 	12	plainText	fragment							
FrequencyList 	2	structured data		statistic						
Games 	1	other	games							"check resource; could be service/tool"
Gazeta 	1	plainText	newspaper		Polish					
Genealogies 	1	structured data	geneology							check resource
Geometry 	1	plainText	mathematics	geometry						
Gesta 	7	plainText	chronicle					medieval period		
Grammars 	3	grammar								
Grammar	3	grammar								
GrammarsAnthologies 	1	grammar	grammar							
Handbooks 	1	plainText	manual	handbook						
Herbals -- England -- 17th century 	1	plainText		medicine			England	17th century		
Historical fiction 	2	plainText	literature	historic fiction						
Image 	1152	image								
Indexes 	1	plainText	index							
Info:eu-repo/semantics/dataset 	253	structured data								
Inscriptions 	1	plainText	inscription							
Instrumental music 	335	audioRecording	music	instrumental music		performance				
Internet 	1	videoRecording								project RADAR
"Internet; mobiele telefoon "	182	videoRecording								project WISEBITS - series of short films, published on internet
Juvenile literature 	3	plainText	literature	jeuvenile literature						
Juvenilia 	1	plainText	literature	jeuvenile literature						
Książka 	1	plainText	book							
LanguageDescription 	19	lexicalResource	description	language						
Languages 	2	structured data	language							
Laws 	1	plainText		law						
Lectures 	4	structured data	lecture			speech				check resources
Legal formularies 	2	structured data		law						
Legal Works 	1	plainText		law						
Legal works 	2	plainText		law						
Legislative proceedingsConstitutionsAnthologies 	1	plainText		law						
LemmaList 	2	structured data								
Letters 	22	plainText	correspondence							
LexicalConceptualResource 	198	lexicalResource								
LexicalResource 	20	lexicalResource								
Lexicon 	7	lexicalResource								
Lexicon: Lexical_categories 	1	lexicalResource								
Libretti 	1	plainText	music	opera						
Linguistic corpora 	37	"plainText; corpus"								
Linguistic corporaCorpus 	23	"plainText; corpus"								
Linguistic corporaCorpusAnthologies 	3	"plainText; corpus"								
Linguistic corporaCorpusLetters 	1	"plainText; corpus"	correspondence							
Linguistic corporaCorpusLettersAnthologies 	1	"plainText; corpus"	correspondence							
Linguistic corporaCorpusNewspapersAnthologies 	1	"plainText; corpus"	newspaper							
Linguistic corporaCorpusPeriodicals -- Italy -- 20th Century 	1	"plainText; corpus"	newspaper				Italy	19th Century		
Linguistic data 	3	structured data	language							check resources
Literary criticism 	1	plainText		literary criticism						
Literature of prejudice 	2	plainText	literature	literature of prejudice						
Local Histories 	1	plainText		local history						
Local histories 	14	plainText		local history						
Local historiesNovels 	1	plainText	novel	local history						
Local/desktop 	10	tool	desktop service							
Machine readable dictionary 	2	lexicalResource								
Manuals 	1	plainText	manual							
Manuals  (Handbooks)	3	plainText	manual							
Manuscript 	1270	plainText	manuscript							
Masques 	1	plainText								"Masques' is just a keyword; see: http://ota.ox.ac.uk/desc/0078"
Mathematics 	1	teachingMaterial	mathematics							
Medical formularies 	5	annotatedText	medicine	formulairies						
Memoirs 	6	plainText	autobiography	memoires						
Military histories 	1	plainText	"military; history"	military history						
Military manuals 	1	plainText	military	military handbooks						
Mobile telephone		videoRecording	mobile phone						mobile phone	check resource
Monograph 	1689	plainText	monograph							
Monolingual 	22	lexicalResource	monolingual							
MonolinugalDictionary 	3	lexicalResource	dictionary							
Monologue 	1	plainText	drama	monologue						check resource
Moving image 	1	videoRecording	moving image							
MovingImage 	494	videoRecording	moving image							spelling mistake
Multilingual 	7	lexicalResource								
MultimodalCorpus 	5	corpus				multimodal				
MultiVolumeWork 	720	corpus								
Music 	1	audioRecording	music							
Mystery and detective fiction 	1	plainText	literature	"mystery; detective fiction"						
Myths and legends 	5	plainText	literature	folklore						
Myths and legends--13th century 	1	plainText	literature	folklore				13th century		
NamedEntitiesList 	1	structured data		named entities						
NewpapersAnthologiesLinguistic corporaCorpus 	1	plainText	newspaper		English					
Newspapers 	2	plainText	newspaper							
NewspapersLinguistic corporaCorpus 	1	corpus	newspaper							
Niet van toepassing 	1185	other								
No value given 	15	other								
Notebooks 	1	plainText								
Novels 	166	plainText	novel							
Novels -- France -- 19th century 	1	plainText	novel				France	19th century		
NovelsAnthologiesLinguistic corporaCorpus	1	"plainText; corpus"	novel							
OralCorpus 	13	"audioRecording; corpus"	speech			speech				
Other 	18	other								
