AVAILABILITY	COUNT	NORMALIZED_VALUE	REMARKS																		
Apache 2.0		"PUB;BY"	Free																		
Apache		PUB;BY	Free																		
ApacheLicence_2.0		PUB;BY	Free																		
Apache Licence 2.0		PUB;BY	Free																		
Apache-Licence		PUB;BY	Free																		
attribution		BY	Free																		
Available to all		PUB	Free																		
Available to public		PUB	Free																		
BSD-style		PUB;BY	Free																		
BSD		PUB;BY	Free																		
BSD or CC-BY-3.0		PUB;BY	Free																		
CC BY-SA 3.0		PUB;BY;SA	Free																		
CC-BY-SA		PUB;BY;SA	Free																		
CC-BY		PUB;BY	Free																		
CC-ZERO		PUB	Free																		
CLARIN_PUB		PUB	Free																		
CLARIN-PUB		PUB	Free																		
free by CLARIN Service Provider federation		ACA	Free																		
"free; Distributed as a dissertation - ""Lexikalische Polygenese im Konzeptbereich KOPF"""		PUB	Free																		
free		PUB	Free																		
"free; Free for academic use."		ACA	Free																		
"free; Free for research purposes."		ACA	Free																		
freely available		PUB	Free																		
freely usable		PUB	Free																		
Free		PUB	Free																		
GFDL		PUB;BY;SA	Free																		
GNU GPL 3		PUB;BY;SA	Free																		
GNU GPL		PUB;BY;SA	Free																		
GNU GPL v2		PUB;BY;SA	Free																		
GNU GPL v3		PUB;BY;SA	Free																		
GNU GPL		PUB;BY;SA	Free																		
GPL		PUB;BY;SA	Free																		
GPL v2		PUB;BY;SA	Free																		
GNU Public License		PUB;BY;SA	Free																		
informLicensor		INF	Free																		
LGPL for Linguistic Resources		PUB;BY	Free																		
LGPL		PUB;BY	Free																		
open 2009		PUB	Free																		
open access		PUB	Free																		
Open Access		PUB	Free																		
Open aceess		PUB	Free																		
open		PUB	Free																		
openly available		PUB	Free																		
open to all		PUB	Free																		
Princeton_Wordnet		PUB	Free																		
PUB		PUB	Free																		
public		PUB	Free																		
redeposit		DEP	Free																		
shareAlike		SA	Free																		
academic access		ACA	Free for academic use																		
academic		ACA	Free for academic use																		
academic-nonCommercialUse		"ACA;NC"	Free for academic use																		
academic - available for academic use		ACA	Free for academic use																		
ACA		ACA	Free for academic use																		
available to researcher/annotator		ACA	Free for academic use																		
Binnen de kaders van de Gedragscode voor gebruik van persoonsgegevens in wetenschappelijk onderzoek van de VSNU (Vereniging van Samenwerkende Nederlandse Universiteiten) vrij beschikbaar voor dialectologisch, fonetisch, historisch of ander onderzoek. Onderzoekers wordt gevraagd bij publicatie als bron deze website te vermelden. Neem voor andersoortig gebruik contact op met het Meertens Instituut.		ACA	Free for academic use																		
CC BY-NC 3.0 DE		PUB;BY;NC	Free for academic use																		
CC BY-NC 3.0		PUB;BY;NC	Free for academic use																		
CC BY-NC 4.0		PUB;BY;NC	Free for academic use																		
CC BY-NC-SA 3.0		PUB;BY;NC;SA	Free for academic use																		
CC-BY-NC		PUB;BY;NC	Free for academic use																		
CC - BY - NC		PUB;BY;NC	Free for academic use																		
CC-BY-NC-SA		PUB;BY;NC;SA	Free for academic use																		
CC-by-nc-sa		PUB;BY;NC;SA	Free for academic use																		
CLARIN ACA		ACA	Free for academic use																		
CLARIN_ACA		ACA	Free for academic use																		
CLARIN-ACA		ACA	Free for academic use																		
CLARIN_ACA-NC		ACA;NC	Free for academic use																		
disponible para indígenas e investigadores		ACA	Free for academic use																		
disponible para ind�genas e investigadores		ACA	Free for academic use																		
"free available for purely academic institutions; fees apply for commercial institutions"		"ACA;RES;FF"	Free for academic use																		
free available for science		ACA	Free for academic use																		
free available for scientific usage		ACA	Free for academic use																		
free for academic use		ACA	Free for academic use																		
free for academic use (subcat frames)		ACA	Free for academic use																		
free for non-commercial use		NC	Free for academic use																		
freely available for academic research and education		ACA	Free for academic use																		
freely available for research and education		ACA	Free for academic use																		
freely available for science		ACA	Free for academic use																		
freely usable for non-commercial usage (inform resource creator)		NC; INF	Free for academic use																		
Free to use for research and teaching purposes.		ACA	Free for academic use																		
Free to use for research and teaching purposes		ACA	Free for academic use																		
non-commercial use		NC	Free for academic use																		
ree available for science		ACA	Free for academic use																		
research use only		ACA	Free for academic use																		
restricted: available to researchers with legitimate interest 1		RES; PLAN	Free for academic use																		
restricted: available to researchers with legitimate interest 2		RES; PLAN	Free for academic use																		
restricted: available to researchers with legitimate interest		RES; PLAN	Free for academic use																		
The Conditions of Use for the IPROSLA data set specify among other things that no commercial use may be made of the data, that the creators of the data set should always be acknowledged in any publication on the data set, and that utmost care should be taken to protect the privacy of the families involved.		"RES; BY; NC; PRIV"	Free for academic use																		
Vrij beschikbaar voor dialectologisch, fonetisch, historisch of ander onderzoek. Onderzoekers wordt gevraagd bij publicatie als bron deze website te vermelden. Neem voor andersoortig gebruik contact op met het Meertens Instituut		ACA	Free for academic use																		
Access is restricted. Permission can be obtained by contacting the owner or the MPI		RES	Restricted																		
All data including audio is accessible for authorised researchers.		RES	Restricted																		
Annotation derzeit nicht vollst�ndig. Freigabe erst nach Auswertung m�glich. Lizensierung zur Ver�ffentlichung im Web als Vereinbarung n�tig.		undefined	Restricted																		
A special license is required because of the stem lexicon. SMOR (without a stem lexicon) comes with the SFST-tools (Stuttgart Finite State Transducer Tools) under the GNU Public License GPLv2.		undefined	Restricted																		
//available-restrictedUse		ignore	Restricted																		
By permission of owner only		RES	Restricted																		
CC-BY-NC-ND		"PUB;BY;NC;ND"	Restricted																		
CC-BY-ND		"PUB;BY;ND"	Restricted																		
CLARIN_RES		RES	Restricted																		
closed		RES	Restricted																		
Closed		RES	Restricted																		
Closed.		RES	Restricted																		
//commercial		ignore	Restricted																		
//commercialUse		ignore	Restricted																		
"free; Contains personal data - photos and recordings. Oral permission for displying the photos, as long as they don't depict nude people."		"RES;PRIV"	Restricted																		
Free to use for research and teaching purposes approved by the rights holder.		RES; PLAN	Restricted																		
"free; Use of text excerpts for scientific research."		RES	Restricted																		
internal		RES	Restricted																		
Linguistic Data Consortium, The Trustees of the University of Pennsylvania.		RES	Restricted																		
MS-C-NoReD-ND-FF		"RES;FF;LRT"	Restricted																		
no access		unavailable	Restricted																		
no available		unavailable	Restricted																		
Not available		unavailable	Restricted																		
Nor available		unavailable	Restricted																		
noDerivatives		ND	Restricted																		
non available		unavailable	Restricted																		
no recordings available due to the sensitivity of the material		unavailable	Restricted																		
noRedistribution		NORED	Restricted																		
no		unavailable	Restricted																		
No		unavailable	Restricted																		
not available to the public		undefined	Restricted																		
other		undefined	Restricted																		
proprietary		undefined	Restricted																		
Recurso protegido - Protected resource		undefined	Restricted																		
Registrierung erforderlich, die Texte der taz m�ssen erworben werden		RES;FF	Restricted																		
Registrierung erforderlich, eingeschr�nkte Nutzung f�r nicht-akademische und kommerzielle Nutzung		RES	Restricted																		
RES		RES	Restricted																		
restricted		Other	Restricted																		
restricted 2009		Other	Restricted																		
Restricted		Other	Restricted																		
restricted - only available for licence owners		Other	Restricted																		
restringido/restricted		Other	Restricted																		
some concept definitions are open		Other	Restricted																		
special license		Other	Restricted																		
underNegotiation		undefined	Restricted																		
available after registration		PUB+ID	Upon request																		
Available on request		RES	Upon request																		
Available upon request		RES	Upon request																		
free for academic use, request required		RES	Upon request																		
on request, for academic use		RES	Upon request																		
Please contact contact-person		RES	Upon request																		
request required		RES	Upon request																		
Upon Request		RES	Upon request																		
																					
//1	4	ignore																			
//2	12	ignore																			
//3	87	ignore																			
//4	58	ignore																			
//"[free; free for academic use; restricted use; request required; user license required; unknown]"	1	ignore																			
//__	4	ignore																			
//476306KB	1	ignore																			
//94408KB	1	ignore																			
//archiving+dissemination	114	ignore																			
Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)	3	PUB;BY;SA																			
//Available	4	ignore																			
//available	423	ignore																			
BAS:aGender	1																				
BAS:ALC	1																				
BAS:ASICA	1																				
BAS:CI_1	1																				
BAS:CLIPS_MT_MANUAL	1																				
BAS:FORMTASK	1																				
BAS:HEMPEL	1																				
BAS:HOESI	1																				
BAS:NM-MoCap-Corpus	1																				
BAS:PD1	1																				
BAS:PD2	1																				
BAS:PHATTSESSIONZ	1																				
BAS:RVG1_CLARIN	1																				
BAS:RVG-J	1																				
BAS:SaGA	1																				
BAS:SC1	2																				
BAS:SC10	1																				
BAS:SHC	1																				
BAS:SIGNUM	1																				
BAS:SK	3																				
BAS:SMC	1																				
BAS:SVC	1																				
BAS:TAXI	1																				
BAS:VERIF1DE	1																				
BAS:VM1	1																				
BAS:VM2	1																				
BAS:VMEMO	1																				
BAS:ZIPTEL	1																				
CC-BY-...	1																				
Creative Commons Attribution-ShareAlike 3.0	1	PUB;BY;SA																			
Creative Commons CC BY-NC 3.0 DE, http://creativecommons.org/licenses/by-nc/3.0/de/	1	PUB;BY;NC																			
Creative_Commons-BY	9	PUB;BY																			
Die Nutzung des W�rterbuchs ist online �ber eine kostenfreie Abfrage einzelner Artikel m�glich.	3	PUB																			
Dit werk is valt onder een Creative Commons Naamsvermelding-NietCommercieel 4.0 Internationaal-licentie(http://creativecommons.org/licenses/by-nc/4.0/)	1	PUB;BY;NC																			
Dit werk is valt onder een Creative Commons Naamsvermelding-NietCommercieel 4.0 Internationaal-licentie.(http://creativecommons.org/licenses/by-nc/4.0/)	1																				
ELRA_END_USER	1	"RES;FF;LOC;LRT;Other"																			
Free for academic use	1																				
"free for academic use by non-commercial organisation; 15.000 euro for commercial use and for use by commercial organisation; user licence required"	1	"ACA;NC;RES;FF"																			
Free for academic use.non applicable for commercial parties	4	ACA																			
"free for academic use; available to commercial parties, but not for free; user licence required for all parties; restricted use"	1	"ACA; RES;FF"																			
"free for academic use; non applicable for commercial parties"	3	ACA;NC																			
"free for academic use; non applicable for commercial parties"	1	ACA;NC																			
"free for academic use; non appliccable for commercial parties"	1	ACA;NC																			
"free for academic use; non appliccable for commercial parties"	1	ACA;NC																			
"free for academic use; non appliccable for commercial parties"	4	ACA;NC																			
free for science	1	ACA																			
Free to use for research purposes provided permission has been granted by rights holder.	234	"ACA;REQ"																			
Free, accessible through CLARIN Institutional login	2	ACA																			
"free; Corpus contains personal data, but person names have been changed."	1	PUB																			
"free; External users must prove they have licensed the original taz data."	2																				
"free; online subscription for the digitalized newspaper texts."	1	"PUB;REG"																			
freely available for non-commercial research use (CC BY-NC-SA Licence)	11	CC;BY;NC;SA																			
GNU General Public License	660	PUB;BY;SA																			
GNU General Public License, version 3	1	PUB;BY;SA																			
http://creativecommons.org/licenses/by-nc/3.0/ 	1	PUB;BY;NC																			
HZSK-ACA	28	ACA																			
HZSK-PUB	27	PUB																			
HZSK-RES	2484	RES																			
Individual lexical entries of this dictionary can be accessed freely online	9	PUB																			
Korpus nicht im endg�ltigem Zustand Generelle Freigabe kann erst erfolgen, wenn die erfassten Daten ausgewertet wurden. Vollst�ndige Freigabe nur auf Anfrage.	14	RES																			
Lesser General Public License For Linguistic Resources	2	PUB;BY																			
