Original	Count	ID	Resource Type	parent1	parent2	Purpose	Datatype	Annotation	Genre	web/desktop	Period-From	Period-To	subject	area	remark	
Text 	134470		Running Natural Language Text													
Televisie 	41000		audio+video						tv programme							
TextAnnotation 	20050		TextAnnotation												to check	"Could not really check it; all example files I tried are empty; New reource type ""textAnnotation""may be required"
Sound 	18642		audio													
PhysicalObject 	10833		physicalObject													
Data Provider 	5885		Running Natural Language Text					Linguistic Annotation/Orthographic/Sentence Separators							done	all textual data from the Leipzig Corpora Collection
Bioscoop 	2956		audio+video						movie							
Session 	2520														to be studied in more detail	
Volume 	2130		Running Natural Language Text													
Monograph 	1799		Running Natural Language Text						monograph							
Manuscript 	1270		Running Natural Language Text						manuscript							
Niet van toepassing 	1185		dna												check	
Image 	1152		image													
Corpus 	837		collection													
MultiVolumeWork 	746		Running Natural Language Text													
Radio 	504		audio						radio programme							
MovingImage 	497		audio+video						movie							
Overig 	408		other												check	
StillImage 	368		image						picture							
Instrumental music 	335		audio						instrumental music							
ToolService 	295		software												split out	
Info:eu-repo/semantics/dataset 	261														check	
Plays 	216		Running Natural Language Text						play							
LexicalConceptualResource 	197		Semantic lexicalResource	lexicalResource												
"Internet; mobiele telefoon "	182														check	
Poems 	170		Running Natural Language Text						poem							
Service 	168		service	software											to split for web/desktop	
Novels 	166		Running Natural Language Text						novel							
Dataset 	153		structured data												check	
Software 	106		software												split out	
Starodruk 	87		Running Natural Language Text						starodruk						(starodruk: collection?)	
Collection 	80		collection													
Tool 	80		software												split out	
WebService 	47		service							web						
Audio 	40		audio													
Linguistic corpora 	37		collection					linguistic annotation							to split out	
Transcription 	35		Running Natural Language Text						transcribed speech							
Anthologies 	30		Running Natural Language Text						anthology							
Devotional literature 	24		Running Natural Language Text						devotional literature							
Linguistic corporaCorpus 	23		collection					linguistic annotation								
Written Corpus 	23		Running Natural Language Text													
Letters 	22		Running Natural Language Text						Letter							
Monolingual 	22														to check	
Short stories 	22		Running Natural Language Text						short story							
Translation 	22		Running Natural Language Text						translated tekst							
LexicalResource 	20		lexicalResource													
